date,open,high,low,close,volume,return,volatility_20d
2001-01-02,2077.076,2103.538,2074.882,2103.469,1865074600,0.014464592566013623,0.006711526029748241
2001-01-03,2108.254,2123.9,2105.497,2123.899,1715767300,0.009712527258542769,0.007031511548554049
2001-01-04,2125.485,2127.419,2113.179,2117.405,1342354100,-0.0030575841883252464,0.006811701345326519
2001-01-05,2117.664,2125.381,2114.056,2125.3,1328817500,0.0037286206464988148,0.006830410107862725
2001-01-08,2128.602,2131.98,2092.097,2102.064,1478708500,-0.010933044746624154,0.007343350279589329
2001-01-09,2099.323,2111.1,2082.841,2101.135,1164933800,-0.0004419465820258983,0.006601281428465376
2001-01-10,2102.085,2125.67,2102.066,2125.615,1291688300,0.011650845852360536,0.006912018907839801
2001-01-11,2129.61,2131.368,2117.029,2119.141,1407220900,-0.0030457067719222852,0.006958885059306077
2001-01-12,2116.846,2117.727,2100.273,2104.747,1066088200,-0.0067923748348978075,0.0071546547384733206
2001-01-15,2097.091,2097.092,2030.288,2032.443,1499858800,-0.03435282245324489,0.010648661985855769
2001-01-16,2018.298,2045.946,2007.706,2045.887,1158372200,0.00661469964963346,0.010740717793436199
2001-01-17,2046.377,2048.695,2031.756,2034.584,732413400,-0.0055247430576566,0.010799576472934417
2001-01-18,2033.686,2049.355,2033.576,2043.11,1034157100,0.004190537230215119,0.010537142764583961
2001-01-19,2046.581,2067.877,2046.541,2065.606,1183126400,0.011010665113479146,0.010834886736501596
2001-02-05,2069.856,2072.547,2005.683,2008.032,897424300,-0.02787269208164589,0.012471454475130553
2001-02-06,1999.723,1999.725,1956.178,1995.315,952842700,-0.006333066405316168,0.012517719237247718
2001-02-07,1995.603,1998.25,1978.599,1979.939,588222900,-0.0077060514254641,0.012512340041845389
2001-02-08,1977.559,1986.898,1926.4,1930.138,888573700,-0.02515279511136459,0.013460825390061807
2001-02-09,1935.188,1963.329,1935.188,1956.97,1123701900,0.01390159667339863,0.013989918106429257
2001-02-12,1958.655,1961.81,1935.587,1961.221,720307500,0.0021722356500100126,0.013752227935292936
2001-02-13,1962.527,1973.999,1958.991,1963.528,540351400,0.0011763080244397983,0.013189380822741757
2001-02-14,1962.738,1966.84,1956.423,1963.2,438215300,-0.00016704625551555718,0.012855068034074128
2001-02-15,1963.449,1966.923,1944.56,1946.479,450675600,-0.008517216788916038,0.012895334026898585
2001-02-16,1942.049,1942.123,1911.871,1941.964,675020900,-0.0023195729314315905,0.012771923243175737
2001-02-19,1942.579,1969.347,1935.651,1967.55,584608300,0.013175321478668067,0.013253668964602417
2001-02-20,1969.777,1980.386,1947.255,1953.218,643593400,-0.007284185916495045,0.013266577657996605
2001-02-21,1948.417,1948.417,1901.205,1909.326,761781700,-0.022471633990675977,0.013401068562681645
2001-02-22,1901.993,1922.457,1893.783,1907.26,505473400,-0.0010820572285717978,0.013425354645448823
2001-02-23,1906.914,1936.634,1906.551,1936.346,620974000,0.015250149429023807,0.014169047158037646
2001-02-26,1940.77,1953.771,1935.547,1953.341,730281100,0.008776840502678684,0.012500516686060038
2001-02-27,1956.272,1962.284,1946.98,1962.042,739859300,0.004454419376852314,0.012432143136863603
2001-02-28,1964.356,1965.021,1950.931,1959.18,614135400,-0.0014586843706708708,0.012404963719074916
2001-03-01,1959.009,1968.357,1953.721,1965.121,1166736900,0.003032391102399945,0.012378138663664507
2001-03-02,1969.056,1987.389,1968.961,1985.111,1516357700,0.010172401597662528,0.012333564651525129
2001-03-05,1991.28,1993.805,1979.654,1984.2,1071935900,-0.00045891640316342297,0.010713577841915305
2001-03-06,1986.732,1990.06,1977.111,1990.06,2087223900,0.0029533313174074927,0.010650433347429282
2001-03-07,1991.276,1996.853,1986.044,1991.177,1389005400,0.0005612896093585285,0.010498123403817521
2001-03-08,1990.637,2002.252,1989.869,2000.9,1149040300,0.004883041537743882,0.008644767614200034
2001-03-09,2003.205,2015.503,1999.478,2011.66,1568103400,0.0053775800889599434,0.008218288146449435
2001-03-12,2013.312,2015.597,2004.964,2012.552,1233348900,0.00044341489118426836,0.008218955234674228
2001-03-13,2012.155,2012.772,1992.171,1998.699,1387481900,-0.006883300406647752,0.008421705112133096
2001-03-14,1996.152,2018.619,1994.944,2018.616,1070314700,0.00996498222093467,0.008654284895677206
2001-03-15,2019.725,2027.333,2017.588,2022.601,1375851100,0.0019741248459341776,0.00833165722566937
2001-03-16,2023.029,2024.28,2011.992,2020.236,1238652400,-0.0011692864781536194,0.008304536674210184
2001-03-19,2019.851,2036.63,2017.491,2036.617,1395060700,0.008108458615726066,0.008018367347726468
2001-03-20,2039.554,2045.941,2037.174,2045.793,1248026300,0.004505510854520001,0.007747483002041101
2001-03-21,2047.633,2066.391,2046.434,2066.39,1964284000,0.010067978529597177,0.0052873896631012544
2001-03-22,2071.202,2087.532,2068.142,2087.532,2361955700,0.010231369683360914,0.005323096351529618
2001-03-23,2091.176,2093.949,2052.555,2053.539,2429779300,-0.01628382223601843,0.006519346730846695
2001-03-26,2052.055,2089.987,2052.055,2089.881,2131132300,0.01769725337575756,0.007206943581287453
2001-03-27,2096.502,2107.302,2090.902,2107.258,1798430500,0.008314827494962707,0.00728766903308321
2001-03-28,2109.755,2112.879,2096.917,2106.874,1571755900,-0.0001822273304930011,0.007246492562189704
2001-03-29,2107.224,2111.734,2096.934,2101.658,1553537600,-0.002475705713773091,0.007375343991145102
2001-03-30,2101.1,2112.833,2096.284,2112.775,2439539100,0.005289633232429036,0.007218160468457807
2001-04-02,2117.45,2126.967,2114.778,2125.084,2373835600,0.005825987149601808,0.0071897118351120694
2001-04-03,2127.781,2129.829,2109.251,2123.052,2060855500,-0.0009561974961929121,0.007257050190544113
2001-04-04,2123.885,2128.157,2084.93,2090.719,2081239900,-0.015229490375176957,0.00834421143831838
2001-04-05,2084.807,2112.619,2081.644,2112.6,2305954200,0.010465777562647105,0.008520515903255744
2001-04-06,2116.377,2122.22,2103.264,2108.606,3741648800,-0.0018905613935433774,0.008557659265702471
2001-04-09,2108.969,2117.411,2100.972,2117.367,2587892600,0.004154877677479796,0.00855344501667711
2001-04-10,2119.538,2128.547,2119.359,2128.479,2076245200,0.00524802738495489,0.008272839391267136
2001-04-11,2130.895,2134.507,2121.156,2131.397,1532366100,0.0013709320129540181,0.008123890327828212
2001-04-12,2132.808,2141.917,2124.815,2134.798,1878638400,0.0015956670671863904,0.008126241382801982
2001-04-13,2135.669,2145.437,2130.594,2145.4,1874717300,0.004966277839870692,0.008086830798343008
2001-04-16,2150.292,2168.078,2150.286,2168.059,3151184400,0.010561666822037852,0.00818573558369964
2001-04-17,2173.304,2177.158,2163.191,2176.679,2855257700,0.003975906559738451,0.008182022891274565
2001-04-18,2177.987,2179.741,2167.593,2172.564,2212785100,-0.0018904946480395868,0.008085273284941711
2001-04-19,2172.431,2175.575,2148.308,2172.87,2454431500,0.0001408474042652319,0.007892563731313196
2001-04-20,2173.956,2179.57,2152.006,2152.335,2281270300,-0.009450634414391978,0.0071729211860621905
2001-04-23,2150.341,2157.512,2132.55,2150.426,2182788400,-0.0008869437146169501,0.006224846373669473
2001-04-24,2151.341,2166.19,2151.339,2166.174,1351537200,0.007323200147319575,0.006170984110888874
2001-04-25,2168.051,2170.387,2115.264,2119.18,1819485500,-0.02169447145058534,0.008049709733737746
2001-04-26,2113.391,2125.788,2102.825,2105.056,1328548300,-0.006664842061552045,0.008179794981145771
2001-04-27,2104.034,2120.844,2104.034,2115.109,1362535000,0.004775644923460387,0.008163465276527934
2001-04-30,2117.168,2122.503,2111.952,2119.184,1091178200,0.0019266146567389342,0.008065160791772333
2001-05-08,2119.898,2138.038,2119.894,2137.994,848036700,0.00887605795438251,0.008306775848932024
2001-05-09,2140.554,2142.377,2127.319,2132.89,971903300,-0.0023872845293299028,0.007492833162109353
2001-05-10,2134.191,2147.339,2134.191,2147.283,985055800,0.006748121093914872,0.007289680015221902
2001-05-11,2150.322,2155.422,2144.759,2155.405,1380646300,0.0037824543853792747,0.007288213143132769
2001-05-14,2161.614,2178.7,2160.123,2178.466,2525319900,0.01069914934780214,0.00757281960032348
2001-05-15,2184.787,2191.068,2176.786,2191.064,2465610100,0.005782968382338716,0.0075878669833725765
2001-05-16,2195.365,2199.536,2187.414,2199.505,1894789000,0.0038524661990704256,0.00760629857077287
2001-05-17,2201.983,2205.013,2187.841,2194.647,2791246900,-0.002208678770905359,0.007653875727076077
2001-05-18,2194.62,2203.374,2186.647,2203.372,3200143200,0.003975582405735478,0.007632835104559984
2001-05-21,2207.781,2213.752,2202.739,2213.595,3365353800,0.004639706776704111,0.007367416506841036
