target,model,feature,coefficient
future_signbalance_5,Factor_OLS,money_factor_m1,0.002243
future_signbalance_5,Factor_OLS,money_factor_avg12,0.029541
future_signbalance_5,Factor_OLS,policy_factor_m1,-0.031531
future_signbalance_5,Factor_OLS,policy_factor_avg12,0.004742
future_signbalance_5,Factor_OLS,fx_factor_m1,0.02863
future_signbalance_5,Factor_OLS,fx_factor_avg12,0.006703
future_signbalance_5,Factor_Ridge,price_factor_m1,-0.001364
future_signbalance_5,Factor_Ridge,price_factor_avg12,-0.01252
future_signbalance_5,Factor_Ridge,money_factor_m1,0.001649
future_signbalance_5,Factor_Ridge,money_factor_avg12,0.004937
future_signbalance_5,Factor_Ridge,policy_factor_m1,-0.003443
future_signbalance_5,Factor_Ridge,policy_factor_avg12,-0.002301
future_signbalance_5,Factor_Ridge,fx_factor_m1,0.0008
future_signbalance_5,Factor_Ridge,fx_factor_avg12,0.000242
future_signbalance_5,HAR_OLS,past_signbalance_5,-0.147387
future_signbalance_5,HAR_OLS,past_signbalance_20,0.162751
future_signbalance_5,HAR_OLS,past_signbalance_60,-0.027884
future_signbalance_5,HAR_Ridge,past_signbalance_5,-0.12784
future_signbalance_5,HAR_Ridge,past_signbalance_20,0.191894
future_signbalance_5,HAR_Ridge,past_signbalance_60,0.015328
future_signbalance_5,HARplusMacro_Ridge,past_signbalance_5,-0.009181
future_signbalance_5,HARplusMacro_Ridge,past_signbalance_20,0.005232
future_signbalance_5,HARplusMacro_Ridge,past_signbalance_60,0.004434
future_signbalance_5,HARplusMacro_Ridge,cpi_yoy_m1,-0.001446
future_signbalance_5,HARplusMacro_Ridge,cpi_yoy_avg12,-0.000979
future_signbalance_5,HARplusMacro_Ridge,cpi_delta1_m1,0.000484
future_signbalance_5,HARplusMacro_Ridge,cpi_delta1_avg12,-0.134738
future_signbalance_5,HARplusMacro_Ridge,ppi_yoy_m1,-0.000499
future_signbalance_5,HARplusMacro_Ridge,ppi_yoy_avg12,-0.000452
future_signbalance_5,HARplusMacro_Ridge,ppi_delta1_m1,-0.004256
future_signbalance_5,HARplusMacro_Ridge,ppi_delta1_avg12,-0.057421
future_signbalance_5,HARplusMacro_Ridge,m2_yoy_m1,0.001939
future_signbalance_5,HARplusMacro_Ridge,m2_yoy_avg12,0.00196
future_signbalance_5,HARplusMacro_Ridge,m2_delta1_m1,-0.00011
future_signbalance_5,HARplusMacro_Ridge,m2_delta1_avg12,-0.011115
future_signbalance_5,HARplusMacro_Ridge,epu_log_m1,-0.004395
future_signbalance_5,HARplusMacro_Ridge,epu_log_avg12,-0.001268
future_signbalance_5,HARplusMacro_Ridge,epu_log_delta1_m1,-0.04865
future_signbalance_5,HARplusMacro_Ridge,epu_log_delta1_avg12,-0.222613
future_signbalance_5,HARplusMacro_Ridge,fx_log_m1,0.026414
future_signbalance_5,HARplusMacro_Ridge,fx_log_avg12,0.032862
future_signbalance_5,HARplusMacro_Ridge,fx_ret1_m1,0.052479
future_signbalance_5,HARplusMacro_Ridge,fx_ret1_avg12,-3.676255
future_logrv_20,Macro_SummaryOLS,cpi_yoy_m1,-0.013696
future_logrv_20,Macro_SummaryOLS,cpi_yoy_avg12,0.019744
future_logrv_20,Macro_SummaryOLS,cpi_delta1_m1,0.000143
future_logrv_20,Macro_SummaryOLS,cpi_delta1_avg12,2.130869
future_logrv_20,Macro_SummaryOLS,ppi_yoy_m1,-0.040648
future_logrv_20,Macro_SummaryOLS,ppi_yoy_avg12,-0.103017
future_logrv_20,Macro_SummaryOLS,ppi_delta1_m1,0.002581
future_logrv_20,Macro_SummaryOLS,ppi_delta1_avg12,-1.938094
future_logrv_20,Macro_SummaryOLS,m2_yoy_m1,-0.010808
future_logrv_20,Macro_SummaryOLS,m2_yoy_avg12,-0.182859
future_logrv_20,Macro_SummaryOLS,m2_delta1_m1,-0.031599
