Window,Model,Variable,Coefficient/Importance
R_60d,PCR_60dim,ppi_lagm4,0.000502508831771864
R_60d,PCR_60dim,ppi_lagm5,0.00041611531425402254
R_60d,PCR_60dim,ppi_lagm6,0.0003279788950430731
R_60d,PCR_60dim,ppi_lagm7,0.0002490920004167807
R_60d,PCR_60dim,ppi_lagm8,0.00017680127319568876
R_60d,PCR_60dim,ppi_lagm9,0.00011011551106062722
R_60d,PCR_60dim,ppi_lagm10,4.812059506993973e-05
R_60d,PCR_60dim,ppi_lagm11,6.818517487959307e-06
R_60d,PCR_60dim,ppi_lagm12,6.003635662380892e-05
R_60d,PCR_60dim,m2_growth_lagm1,4.359230921927473e-05
R_60d,PCR_60dim,m2_growth_lagm2,5.6945763151074545e-05
R_60d,PCR_60dim,m2_growth_lagm3,0.00016948962547853088
R_60d,PCR_60dim,m2_growth_lagm4,0.0002880335741844012
R_60d,PCR_60dim,m2_growth_lagm5,0.0003811092134585262
R_60d,PCR_60dim,m2_growth_lagm6,0.00045953981079933866
R_60d,PCR_60dim,m2_growth_lagm7,0.0005402728224616788
R_60d,PCR_60dim,m2_growth_lagm8,0.0006092655929118136
R_60d,PCR_60dim,m2_growth_lagm9,0.000659408066812397
R_60d,PCR_60dim,m2_growth_lagm10,0.0007037285715111274
R_60d,PCR_60dim,m2_growth_lagm11,0.0007413417629148651
R_60d,PCR_60dim,m2_growth_lagm12,0.0007683363220118022
R_60d,PCR_60dim,epu_lagm1,0.0007788281393895222
R_60d,PCR_60dim,epu_lagm2,0.0008258559388906379
R_60d,PCR_60dim,epu_lagm3,0.0008550607660018394
R_60d,PCR_60dim,epu_lagm4,0.0008688118261620821
R_60d,PCR_60dim,epu_lagm5,0.0008787252077590333
R_60d,PCR_60dim,epu_lagm6,0.0008741674831843491
R_60d,PCR_60dim,epu_lagm7,0.0008591993460615902
R_60d,PCR_60dim,epu_lagm8,0.0008529392632133458
R_60d,PCR_60dim,epu_lagm9,0.0008170662221403578
R_60d,PCR_60dim,epu_lagm10,0.0007810587563386275
R_60d,PCR_60dim,epu_lagm11,0.0007383717528546937
R_60d,PCR_60dim,epu_lagm12,0.0006902715579836837
R_60d,PCR_60dim,usd_cny_lagm1,0.0005406139653084134
R_60d,PCR_60dim,usd_cny_lagm2,0.0006238944619654026
R_60d,PCR_60dim,usd_cny_lagm3,0.0006950055444019489
R_60d,PCR_60dim,usd_cny_lagm4,0.0007471438070225126
R_60d,PCR_60dim,usd_cny_lagm5,0.000774488201032906
R_60d,PCR_60dim,usd_cny_lagm6,0.0007833694141751957
